ACTION	[FILL] a	OBJECT/AGENT/PROCESS	SCOPE	QUANTIFIER	VERB (requires)	ACTION	QUANTITY/VALUE	[FILL] a	OBJECT	SCOPE	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	an	animal			requires				air		for	survival							e918-e402-e4c8-3977	
	an	animal			requires				energy		to	move					#375		838c-30bf-9b24-714b	
	an	animal			needs to	eat			food		for	nutrients							7d29-0a2c-6959-b1dd	
	an	animal			requires			a	habitat		for	survival					# original: "habitats support animals" -- is there a generic way to reframe so we can also use the word "support"?		fc71-7a5d-6e7b-5f5a	
	an	animal			requires		enough		nutrients		to	maintain good health; survive					# 793		7db0-1827-aaaa-cc30	
	an	animal			requires				nutrients		to	grow and heal					# Q 398		12ed-f3da-04db-3ddc	
	an	animal			requires				oxygen		for	survival; to breathe							f59c-9a1b-f57b-d689	
	an	animal			requires				shelter								# Add for/purpose?		44e1-a4d0-f534-fb1b	
	an	animal		usually	requires			a	warm body temperature		for	survival					# Q 304, combine wil above?		b08a-c1bc-23ee-1815	
	an	animal			requires				warmth		for	survival					#322		2280-1ce3-3320-9547	
	an	animal			needs to	move					to	find shelter					# 620		df9f-982c-aa68-428a	
	an	animal; living thing			requires				nutrients		for	survival							80de-489f-48b2-16f4	
		animals		usually	require	removing			salt	from water	for	drinking					#765		d3bf-8edc-c2a9-df49	
		animals; living things			require				water		for	survival							732f-cb0b-50b4-ad0d	
	an	aquatic animal; aquatic plant			requires		great amounts of		water		to	survive; thrive					#817		335b-df55-9aa4-74ac	
pedalling	a	bicycle			requires	moving		the	pedals						in a circular motion		# Q 135		aa32-7fa4-4468-3d58	
		broken bones			require				healing								#1666		55ad-db14-b2ff-b591	
		cells			require				oxygen		for	fuel							c37e-1c44-bf2c-3755	
looking in	a	container		sometimes	requires	opening			that container								# Q 1539		a280-cb5c-23dc-75f5	
planting		crops			requires	growing			crops								#377		be6c-e07f-062e-3207	
		detailed observation	of celestial objects		requires			a	telescope								# Q 951		44f4-634f-79d8-75d7	
	an	egg			requires				warmth		to	survive; hatch; develop					# Q 687		a395-cfde-0f24-1823	
		electric devices			require				electrical energy		to	function					# Q 35		0584-393a-7b86-9c70	
	an	electrical device			requires				electricity		to	turn on					#1293		4ba9-2d5a-0284-2882	
powering	an	electrical device	with a battery		requires			a	path	for electricity	to	flow	through	a closed circuit			# Q 1739		0b18-91e7-5692-5753	
		electrical insulation			requires	wrapping		a	conductor	in an insulator							#1054		6152-0048-10b7-5dd7	
producing		electricity		sometimes	requires	burning			oil								#2040		524e-2e12-7c8b-f5cb	
		experimentation			requires				factors to be kept constant								#482	Low quality. No uses.	7f4b-8d9c-f5a8-1f08	
		experimentation			requires	measuring											#482		e1e1-8127-43cc-b6bf	
		experimetnation			requires		many		measurements								#326		195d-1a9a-bd8f-5d4d	
	a	flashlight			requires			a	source of electricity		to	produce light							e1cb-6dbd-0bf8-8d18	
cooking		food			requires	adding			heat energy								#830		3d03-670e-3580-8f82	
